fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-19,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,20000.0,VENTAS
2026-09-19,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,4560.0,TRANSFERENCIAS
2026-09-19,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,30000.0,TRANSFERENCIAS
2026-09-19,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,30000.0,TRANSFERENCIAS
2026-09-19,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,40000.0,TRANSFERENCIAS
2026-09-19,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,20000.0,TRANSFERENCIAS
2026-09-21,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,VENTAS
2026-09-21,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,VENTAS
2026-09-21,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,VENTAS
2026-09-21,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,VENTAS
2026-09-21,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,VENTAS
2026-09-21,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-21,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-21,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,VENTAS DIRECTAS MOVILES COBIJA,9000.0,TRANSFERENCIAS
2026-09-21,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,PUESTO DE VENTA PUERTO RICO YPFB,9000.0,TRANSFERENCIAS
2026-09-21,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,4560.0,TRANSFERENCIAS
2026-09-21,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,17000.0,TRANSFERENCIAS
2026-09-21,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-22,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,VENTAS
